energy(keV),eff area(cm^2)
2.99000,2.704753974741540e-37
3.00000,5.922359771972615e-37
3.01000,1.283314850041501e-36
3.02000,2.740307807766844e-36
3.03000,5.769416192984969e-36
3.04000,1.219800983393854e-35
3.05000,2.547899077669305e-35
3.06000,5.291335075853267e-35
3.07000,1.085904982178363e-34
3.08000,2.216141407398237e-34
3.09000,4.476607866764303e-34
3.10000,8.982208089521031e-34
3.11000,1.790458146281229e-33
3.12000,3.539662089440028e-33
3.13000,6.934502316266680e-33
3.14000,1.346501590105925e-32
3.15000,2.593466537751009e-32
3.16000,4.950051228067804e-32
3.17000,9.390990392207699e-32
3.18000,1.764284197092552e-31
3.19000,3.302682278037814e-31
3.20000,6.119009601520667e-31
3.21000,1.132846238351185e-30
3.22000,2.075559735251698e-30
3.23000,3.793438968365783e-30
3.24000,6.875986429791473e-30
3.25000,1.239001168347791e-29
3.26000,2.216593605146945e-29
3.27000,3.937853459835877e-29
3.28000,6.959180410891239e-29
3.29000,1.218569470251244e-28
3.30000,2.118328149892353e-28
3.31000,3.657076039234294e-28
3.32000,6.321404784483407e-28
3.33000,1.083896715699176e-27
3.34000,1.849838180615613e-27
3.35000,3.136373144446172e-27
3.36000,5.283726022694504e-27
3.37000,8.858632851926598e-27
3.38000,1.473450707251257e-26
3.39000,2.442746105748456e-26
3.40000,4.017107671093056e-26
3.41000,6.597720857309394e-26
3.42000,1.076243805495133e-25
3.43000,1.746391121589883e-25
3.44000,2.820570342377501e-25
3.45000,4.523647895911656e-25
3.46000,7.236470325499111e-25
3.47000,1.148994677926803e-24
3.48000,1.818532565698229e-24
3.49000,2.861022207407364e-24
3.50000,4.482554203064495e-24
3.51000,7.017681515477860e-24
3.52000,1.091456191060776e-23
3.53000,1.694467179308846e-23
3.54000,2.612539548367784e-23
3.55000,4.012850277273873e-23
3.56000,6.134472686682134e-23
3.57000,9.324463932131648e-23
3.58000,1.413569431385911e-22
3.59000,2.129247939385040e-22
3.60000,3.198969986074608e-22
3.61000,4.788655598303415e-22
3.62000,7.134387234158117e-22
3.63000,1.060305542359818e-21
3.64000,1.566592058679687e-21
3.65000,2.309659671591507e-21
3.66000,3.387807286624032e-21
3.67000,4.948583713686769e-21
